ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-01,2.03616,0.7372892680665978,3.2301698713755296,2.03616,2.03616,-0.07302507179012346,-0.07302507179012346,-0.07302507179012346,0.020678592000032723,0.020678592000032723,0.020678592000032723,-0.09370366379015618,-0.09370366379015618,-0.09370366379015618,0.0,0.0,0.0,1.9631349282098767
2009-01-06,2.036092411851852,0.6887794105168297,3.037947653703437,2.036092411851852,2.036092411851852,-0.20102109710720711,-0.20102109710720711,-0.20102109710720711,-0.06394837080449783,-0.06394837080449783,-0.06394837080449783,-0.13707272630270928,-0.13707272630270928,-0.13707272630270928,0.0,0.0,0.0,1.8350713147446451
2009-01-07,2.0360788942222223,0.6530959863273507,3.150688640086493,2.0360788942222223,2.0360788942222223,-0.12815698811678006,-0.12815698811678006,-0.12815698811678006,0.015593773247780149,0.015593773247780149,0.015593773247780149,-0.14375076136456022,-0.14375076136456022,-0.14375076136456022,0.0,0.0,0.0,1.9079219061054422
2009-01-08,2.036065376592593,0.6162242315987507,3.1275824252357536,2.036065376592593,2.036065376592593,-0.12919259372517639,-0.12919259372517639,-0.12919259372517639,0.02067859199994343,0.02067859199994343,0.02067859199994343,-0.14987118572511982,-0.14987118572511982,-0.14987118572511982,0.0,0.0,0.0,1.9068727828674166
2009-01-09,2.036051858962963,0.6478009352698776,3.1300343171829192,2.036051858962963,2.036051858962963,-0.1119217411135443,-0.1119217411135443,-0.1119217411135443,0.04357939961257498,0.04357939961257498,0.04357939961257498,-0.15550114072611929,-0.15550114072611929,-0.15550114072611929,0.0,0.0,0.0,1.9241301178494188
2009-01-10,2.0360383413333336,0.6233430325918837,3.218462287853397,2.0360383413333336,2.0360383413333336,-0.10201826546908485,-0.10201826546908485,-0.10201826546908485,0.05869394252792974,0.05869394252792974,0.05869394252792974,-0.16071220799701458,-0.16071220799701458,-0.16071220799701458,0.0,0.0,0.0,1.9340200758642487
2009-01-12,2.0360113060740743,0.47943278447994453,3.053124303819839,2.0360113060740743,2.0360113060740743,-0.21791688859363723,-0.21791688859363723,-0.21791688859363723,-0.04775098644923234,-0.04775098644923234,-0.04775098644923234,-0.1701659021444049,-0.1701659021444049,-0.1701659021444049,0.0,0.0,0.0,1.8180944174804372
2009-01-14,2.035984270814815,0.6563915698496482,3.1954328189517662,2.035984270814815,2.035984270814815,-0.1631752672318155,-0.1631752672318155,-0.1631752672318155,0.015593773247608071,0.015593773247608071,0.015593773247608071,-0.17876904047942355,-0.17876904047942355,-0.17876904047942355,0.0,0.0,0.0,1.8728090035829996
2009-01-16,2.0359572355555557,0.6810231881592467,3.143362330981923,2.0359572355555557,2.0359572355555557,-0.14335782299786967,-0.14335782299786967,-0.14335782299786967,0.043579399612517195,0.043579399612517195,0.043579399612517195,-0.18693722261038687,-0.18693722261038687,-0.18693722261038687,0.0,0.0,0.0,1.8925994125576862
2009-01-17,2.0359437179259263,0.6747353108312134,3.1988924005843447,2.0359437179259263,2.0359437179259263,-0.13224561662953357,-0.13224561662953357,-0.13224561662953357,0.058693942527934855,0.058693942527934855,0.058693942527934855,-0.1909395591574684,-0.1909395591574684,-0.1909395591574684,0.0,0.0,0.0,1.9036981012963927
