ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-04,2.88456,1.0795198528253689,4.515101026701981,2.88456,2.88456,-0.10633347095136324,-0.10633347095136324,-0.10633347095136324,-0.12044247845904477,-0.12044247845904477,-0.12044247845904477,0.014109007507681518,0.014109007507681518,0.014109007507681518,0.0,0.0,0.0,2.778226529048637
2009-01-05,2.8844466589814175,1.226348186242627,4.653286796620975,2.8844466589814175,2.8844466589814175,0.07131465590355549,0.07131465590355549,0.07131465590355549,0.06523209272923497,0.06523209272923497,0.06523209272923497,0.006082563174320535,0.006082563174320535,0.006082563174320535,0.0,0.0,0.0,2.955761314884973
2009-01-06,2.8843333179628354,1.1655372510175888,4.613085800228469,2.8843333179628354,2.8843333179628354,0.03620601040903879,0.03620601040903879,0.03620601040903879,0.03907566457626321,0.03907566457626321,0.03907566457626321,-0.002869654167224414,-0.002869654167224414,-0.002869654167224414,0.0,0.0,0.0,2.9205393283718744
2009-01-07,2.8842199769442534,1.043958506150303,4.488250557378939,2.8842199769442534,2.8842199769442534,-0.07698422341726908,-0.07698422341726908,-0.07698422341726908,-0.0642214988956897,-0.0642214988956897,-0.0642214988956897,-0.012762724521579377,-0.012762724521579377,-0.012762724521579377,0.0,0.0,0.0,2.8072357535269843
2009-01-08,2.8841066359256713,1.134618282152947,4.3836440983403575,2.8841066359256713,2.8841066359256713,-0.07727479937800859,-0.07727479937800859,-0.07727479937800859,-0.05366769000004927,-0.05366769000004927,-0.05366769000004927,-0.02360710937795933,-0.02360710937795933,-0.02360710937795933,0.0,0.0,0.0,2.8068318365476626
2009-01-11,2.883766612869924,0.9807106006178414,4.284221491744523,2.883766612869924,2.883766612869924,-0.18229503825710752,-0.18229503825710752,-0.18229503825710752,-0.12044247845902516,-0.12044247845902516,-0.12044247845902516,-0.06185255979808236,-0.06185255979808236,-0.06185255979808236,0.0,0.0,0.0,2.7014715746128166
2009-01-12,2.883653271851342,1.077047067547902,4.588602886597056,2.883653271851342,2.883653271851342,-0.01123114154901528,-0.01123114154901528,-0.01123114154901528,0.06523209272931532,0.06523209272931532,0.06523209272931532,-0.0764632342783306,-0.0764632342783306,-0.0764632342783306,0.0,0.0,0.0,2.872422130302327
2009-01-13,2.8835399308327596,1.2161425630559077,4.492574551283358,2.8835399308327596,2.8835399308327596,-0.052882143622345924,-0.052882143622345924,-0.052882143622345924,0.03907566457602549,0.03907566457602549,0.03907566457602549,-0.09195780819837142,-0.09195780819837142,-0.09195780819837142,0.0,0.0,0.0,2.8306577872104137
2009-01-14,2.8834265898141775,1.045058767609083,4.463688559744902,2.8834265898141775,2.8834265898141775,-0.17251140018932923,-0.17251140018932923,-0.17251140018932923,-0.06422149889589344,-0.06422149889589344,-0.06422149889589344,-0.10828990129343577,-0.10828990129343577,-0.10828990129343577,0.0,0.0,0.0,2.7109151896248482
2009-01-15,2.8833132487955955,1.0644046708454022,4.415798057373107,2.8833132487955955,2.8833132487955955,-0.17906760865872562,-0.17906760865872562,-0.17906760865872562,-0.053667689999868415,-0.053667689999868415,-0.053667689999868415,-0.12539991865885722,-0.12539991865885722,-0.12539991865885722,0.0,0.0,0.0,2.70424564013687
2009-01-16,2.883199907777013,1.177920353829746,4.345558752893434,2.883199907777013,2.883199907777013,-0.07558119485217094,-0.07558119485217094,-0.07558119485217094,0.06763334374474307,0.06763334374474307,0.06763334374474307,-0.14321453859691402,-0.14321453859691402,-0.14321453859691402,0.0,0.0,0.0,2.807618712924842
