"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-01","2.8",",,W"," 2324",",,X"," 2323",",,W","0.0","T,,0,2400","   74",",,W","0.0","T,,0,2400","203.0",",,0,",,,"-3.3",",,0","-17.2",",,0","  405",",,W","  140",",,X","  130",",,X","0.0",",I,0","5.8",",,X","6.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-02","7.5",",,W"," 1608",",,X"," 1607",",,W","0.3",",,0,2400","   41",",,W","0.0","T,,0,2400","127.0",",,0,",,,"1.1",",,0","-5.6",",,0","  224",",,W","  250",",,X","  260",",,X","0.0",",I,0","13.0",",,X","16.5",",,X",,,,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-03","3.9",",,W"," 0356",",,X"," 0112",",,W","0.0","T,,0,2400","   93",",,W","0.0","T,,0,2400","102.0",",,0,",,,"-2.8",",,0","-12.2",",,0","  508",",,W","  250",",,X","  260",",,X","0.0",",I,0","8.9",",,X","11.2",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-04","3.1",",,W"," 2302",",,X"," 2301",",,W","0.3",",,0,2400","   72",",,W","0.0",",,0,2400","102.0",",,0,",,,"1.1",",,0","-13.9",",,0","  394",",,W","  240",",,X","  250",",,X","0.0",",,0","7.6",",,X","9.8",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-05","6.0",",,W"," 1203",",,X"," 1210",",,W","0.0","T,,0,2400","   79",",,W","0.0",",,0,2400","76.0",",,0,",,,"0.6",",,0","-6.7",",,0","  434",",,W","  240",",,X","  240",",,X","0.0",",,0","12.5",",,X","14.8",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-06","3.8",",,W"," 1600",",,X"," 1559",",,W","2.8",",,0,2400","   33",",,W","8.0",",,0,2400","76.0",",,0,",,,"-0.6",",,0","-10.0",",,0","  181",",,W","  160",",,X","  160",",,X","0.0",",,0","9.4",",,X","11.2",",,X","    1",",,W",,,,,"    1",",,X","    1",",,0",,,,,,,,,,,,,,,,,"    1",",,0","    1",",,X","    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-07","6.1",",,W"," 1858",",,X"," 1451",",,W","12.2",",,0,2400","    1",",,W","23.0",",,0,2400","51.0",",,0,",,,"1.7",",,0","-2.2",",,0","    4",",,W","  230",",,X","  260",",,X","0.0",",,0","13.9",",,X","20.6",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,W",,,,,"    1",",,W",,,,,"    1",",,X",,,"    1",",,0","    1",",,X","    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-08","7.0",",,W"," 0010",",,X"," 0335",",,W","1.3",",,0,2400","   58",",,W","15.0",",,0,2400","76.0",",,0,",,,"-1.1",",,0","-6.7",",,0","  321",",,W","  250",",,X","  240",",,X","0.0",",,0","12.5",",,X","16.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-09","2.6",",,W"," 0056",",,X"," 0055",",,W","0.0","T,,0,2400","   39",",,W","5.0",",,0,2400","76.0",",,0,",,,"-3.9",",,0","-8.3",",,0","  218",",,W","  250",",,X","  260",",,X","0.0",",,0","5.4",",,X","6.3",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-10","5.2",",,W"," 1712",",,X"," 1720",",,W","3.8",",,0,2400","    0",",,W","102.0",",,0,2400","76.0",",,0,",,,"-5.6",",,0","-8.3",",,0","    0",",,W","   60",",,X","   60",",,X","0.0",",,0","9.4",",,X","10.7",",,X","    1",",,W","    1",",,X",,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-11","3.3",",,W"," 0223",",,X"," 0231",",,W","1.3",",,0,2400","   61",",,W","23.0",",,0,2400","127.0",",,0,",,,"-5.0",",,0","-8.3",",,0","  338",",,W","  360",",,X","   10",",,X","0.0",",,0","6.7",",,X","8.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-12","3.9",",,W"," 1926",",,X"," 1930",",,W","0.5",",,0,2400","   65",",,W","33.0",",,0,2400","127.0",",,0,",,,"-3.3",",,0","-10.0",",,0","  361",",,W","  200",",,X","  200",",,X","0.0",",I,0","8.0",",,X","9.8",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-13","7.6",",,W"," 1424",",,X"," 1409",",,W","5.3",",,0,2400","    0",",,W","71.0",",,0,2400","127.0",",,0,",,,"0.6",",,0","-11.7",",,0","    0",",,W","  230",",,X","  220",",,X","0.0",",I,0","11.2",",,X","14.8",",,X","    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-14","3.0",",,W"," 0132",",,X"," 0131",",,W","1.8",",,0,2400","   31",",,W","15.0",",,0,2400","178.0",",,0,",,,"-11.7",",,0","-16.7",",,0","  172",",,W","  270",",,X","  270",",,X","0.0",",I,0","7.2",",,X","10.3",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-15","3.1",",,W"," 1602",",,X"," 1618",",,W","0.3",",,0,2400","   51",",,W","8.0",",,0,2400","178.0",",,0,",,,"-10.6",",,0","-16.7",",,0","  289",",,W","  250",",,X","  270",",,X","0.0",",I,0","9.4",",,X","10.7",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-16","7.1",",,W"," 1039",",,X"," 1101",",,W","0.0","T,,0,2400","   62",",,W","0.0","T,,0,2400","152.0",",,0,",,,"-12.8",",,0","-16.1",",,0","  350",",,W","  250",",,X","  260",",,X","0.0",",I,0","11.6",",,X","14.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
